Titulo,Fuente,clickbait,Probabilidad
La denuncia del PP reclama una inhabilitación de Sánchez de entre cinco y 10 años por no inhibirse en el rescate de Air Europa ,El Mundo,SI,0.9897027611732484
Puigdemont: “Con el calendario electoral en la mano podré estar presente en el debate de investidura” ,EL PAÍS,NO,0.9998570680618286
"Elecciones Catalunya | Pere Aragonès convoca las elecciones catalanas para el 12 mayo de 2024, última hora ",La Vanguardia,NO,0.9999678134918212
La Fiscalía ofrece a la pareja de Ayuso un pacto para que admita dos delitos fiscales ,El Mundo,NO,0.9999662637710572
¿Qué es el Hard Rock? Del Eurovegas con el que Cataluña rivalizó con Esperanza Aguirre al proyecto que ha provocado el adelanto de elecciones en Cataluña para el 12 de mayo tras el 'no' a los Presupuestos de Pere Aragonès ,El Mundo,NO,0.9991549253463744
¿Va a llover en Semana Santa? Ya tenemos algunas pistas de lo que pasará ,Eltiempo.es,SI,0.999909520149231
Bolaños y Pons no ven avances en la renovación del CGPJ pero Reynders sí y lleva la próxima reunión a Madrid ,El Mundo,NO,0.9999456405639648
Un preso mata a la cocinera de una cárcel en Tarragona y después se suicida ,AS,NO,0.9999675750732422
Mejor hubiera sido que le exigiera su dimisión como novia ,El Mundo,SI,0.9999443292617798
"Joaquín ‘El Prestamista’, de los ‘Gipsy Kings’, detenido en un operativo antidroga ",AS,NO,0.9999574422836304
"La búsqueda de Javier Márquez, el joven desaparecido en Logroño, llega hasta Pina de Ebro ",Heraldo.es,NO,0.9999313354492188
La confesión del asesino del Hinojal: «Me gusta apostar y me comían las deudas. Le estrangulé» ,El Debate,NO,0.9985926747322084
Juan Carlos I ya está en Sanxenxo tras pasar por Vitoria para su revisión médica ,La Voz de Galicia,NO,0.9203097820281982
La periodista Imma Lucas tras el debate sobre la ley de amnistía: Los jueces desconfían de los propios j ,laSexta,NO,0.9999525547027588
Sánchez se aferra a la gran mentira de Aznar en el 11-M para evitar dar explicaciones en el Senado sobre el 'caso Koldo' ,El Mundo,NO,0.9998817443847656
Los Reyes presiden este jueves en el Palau Ducal de Gandia la entrega de los Premios Nacionales de Investigación 2023 ,Onda Naranja Cope,NO,0.9999427795410156
Así será Son Busquets: 831 viviendas y 'colinvings' para dar cabida a 672 jóvenes ,Ultima Hora,NO,0.9999005794525146
Cae una red asentada en Andalucía que se lucraba con la repatriación de cadáveres de magrebíes fallecidos en el mar ,ABC.es,NO,0.9999016523361206
"Mazón suprimirá los impuestos verdes al coche, la industria y las grandes superficies comerciales ",Levante-EMV,NO,0.9999728202819824
El vicepresidente de Aragón rompe el folleto del Ramadán de Huesca: El Islam es la religión del maltrato a la mujer ,El Mundo,SI,0.9622108340263368
Aemet lanza su previsión del tiempo para escd datate miércoles fallero en Valencia ,Las Provincias,NO,0.9999715089797974
