id,titulo,fuente,cb,score,fec_creacion
9922,Banco Sabadell gana 308 millones de euros hasta marzo y eleva un 50% su beneficio,El Mundo,NO,0.9999731779098512,2024-04-25 07:45:25.131806
9923,EGM | Carlos Alsina bate su récord histórico y Carlos Herrera recupera el liderazgo de 6 a 10 de la mañana,El Mundo,NO,0.9999716281890868,2024-04-25 07:45:25.131806
9924,"El true crime de Vicente Vallés, Pablo Motos y Pedro Sánchez: 'Es un terminator líquido'",El Mundo,SI,0.967628002166748,2024-04-25 07:45:25.131806
9925,La alcaldesa de Jerez: 'No estoy en contra de la libertad de horarios comerciales; pero hay que aplicar la norma con sentido común',El Mundo,NO,0.9999544620513916,2024-04-25 07:45:25.131806
9926,Récord de plazas desiertas en los MIR por la falta de políticas sanitarias de Mónica García,El Mundo,NO,0.9999479055404664,2024-04-25 07:45:25.131806
9927,"Carla Zaplana, dietista, nutricionista y autora de 'Cultiva tu fuerza': 'Ganar masa muscular es la mejor forma de reducir la edad cronológica'",El Mundo,NO,0.9996235370635986,2024-04-25 07:45:25.131806
9928,"Las siete vidas de 'Taxi', el capo 'blanqueador' de la Mocro Mafia",El Mundo,SI,0.999943733215332,2024-04-25 07:45:25.131806
9929,"Simeone y los penaltis, Reina y el depósito del coche, las supersticiones más locas del fútbol: 'Hay que evitar que terminen en una obsesión'",El Mundo,SI,0.9998866319656372,2024-04-25 07:45:25.131806
9930,Golpe a la mafia búlgara del tabaco: La Guardia Civil a libera a 11 personas esclavizadas en una fábrica de cigarrillos falsificados,El Mundo,NO,0.9998879432678224,2024-04-25 07:45:25.131806
9931,Un año de profunda rehabilitación en las piscinas de Peñuelas: 'Las filtraciones ponen en riesgo la seguridad de los usuarios',El Mundo,NO,0.999679684638977,2024-04-25 07:45:25.131806
9932,Teresa Ribera hará campaña de las europeas desde Moncloa y no asegura su renuncia hasta ser comisaria,El Mundo,NO,0.9996236562728882,2024-04-25 07:45:25.131806
9933,Detenido por agredir sexualmente a una pareja de mujeres jóvenes junto a la Puerta del Sol,El Mundo,NO,0.999958634376526,2024-04-25 07:45:25.131806
9934,Así fue la reunión sobre la filtración de datos del novio de Ayuso: seis horas de discusión y una cúpula fiscal partida en dos,El Mundo,SI,0.9988799691200256,2024-04-25 07:45:25.131806
9935,Los indicios que han llevado al juez a investigar la denuncia contra Begoña Gómez,El Mundo,NO,0.9994264841079712,2024-04-25 07:45:25.131806
9936,Puigdemont pide a Sánchez una cuestión de confianza y el entorno del presidente avisa de que 'puede hacer cualquier cosa',El Mundo,NO,0.6514418721199036,2024-04-25 07:45:25.131806
9937,Portada de EL MUNDO del jueves 25 de abril de 2024,El Mundo,NO,0.9991946816444396,2024-04-25 07:45:25.131806
9938,El PP 'prepara el terreno' para investigar a Sánchez y su mujer en el Senado si no dimite,El Mundo,SI,0.8093975782394409,2024-04-25 07:45:25.131806
9939,Sánchez Llibre defiende que su visita a Puigdemont da fruto al votar Junts con el PP para tumbar un plan sindical del Gobierno,El Mundo,SI,0.7090871334075928,2024-04-25 07:45:25.131806
9940,"De aquel tobogán hinchable a la abeja de Rumasa: la fascinante historia de las Torres de Colón, un icono de Madrid que ahora resucita ecológico y futurista",El Mundo,SI,0.9999661445617676,2024-04-25 07:45:25.131806
9941,Candela Peña: 'Detrás de mi fama de problemática siempre hay un señor que no acepta el no de una mujer',El Mundo,SI,0.9954062700271606,2024-04-25 07:45:25.131806
